Pincode,Year,Quarter,Transaction_Count,Transaction_Amount
411057,2023,2,30991776,24785623038.0
500072,2023,3,65847402,88142226984.0
560068,2023,3,62632584,61263877641.0
560037,2023,3,45865518,49216757881.0
201301,2023,3,45155149,35368082651.0
500081,2023,3,41403377,46841816235.0
560076,2023,3,39572187,39693662048.0
560078,2023,3,38275825,41125711463.0
500032,2023,3,37909563,43121138159.0
560100,2023,3,36711660,34628577402.0
411057,2023,3,35730539,28470754620.0
500072,2023,4,69292728,91284974730.0
560068,2023,4,63713816,62360639499.0
201301,2023,4,47085837,38136753615.0
560037,2023,4,43844472,47520783905.0
500081,2023,4,41757627,48496303521.0
560076,2023,4,40062218,40406677455.0
560078,2023,4,39399547,42452583912.0
500032,2023,4,38490289,44458212241.0
410501,2023,4,37823604,30451717116.0
560100,2023,4,37641570,35551238822.0
500072,2024,1,69094126,88039295927.0
560068,2024,1,65916906,63058218288.0
201301,2024,1,52120222,40796556514.0
560037,2024,1,44437042,46789563898.0
410501,2024,1,43473832,33452714100.0
500081,2024,1,43128414,49113797461.0
560076,2024,1,40863256,40420178638.0
560078,2024,1,40535894,42657750513.0
411057,2024,1,40434976,31533887646.0
500032,2024,1,40014033,45087861514.0
500072,2024,2,76230583,93277825439.0
560068,2024,2,69364986,66289367831.0
201301,2024,2,62464983,44004838882.0
500081,2024,2,47745271,52611737092.0
410501,2024,2,46907334,34713255109.0
560037,2024,2,46776034,48880395601.0
500032,2024,2,43718050,47723230498.0
560076,2024,2,42881778,42679317598.0
560078,2024,2,42529166,45410228491.0
411057,2024,2,42406480,32822122569.0
500072,2024,3,92129066,108183377419.0
201301,2024,3,68967992,49390127364.0
500081,2024,3,64860408,70783617503.0
560068,2024,3,63337647,60042061003.0
560100,2024,3,57890073,54596825856.0
452001,2024,3,54979662,48977311740.0
410501,2024,3,51594896,38484342016.0
560037,2024,3,50010832,51995620737.0
411057,2024,3,46700269,37628700658.0
560066,2024,3,44823424,45681565757.0
500072,2024,4,97079697,111354370899.0
201301,2024,4,71597704,52354483878.0
500081,2024,4,67246969,72596118114.0
560068,2024,4,63798364,60719442481.0
560100,2024,4,58873952,55139541256.0
452001,2024,4,58325781,52789642819.0
410501,2024,4,55813356,42271781255.0
411057,2024,4,48685493,38546349566.0
560037,2024,4,48507070,50370682932.0
560066,2024,4,44494164,45074223595.0
